,Unnamed: 0,ID,region_id,private,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
16080,16080,0a4badd8b27dc1f81d1c3a14e0b3bd68a1b16310,0,business,16900.0,bmw,116,diesel,11.68300573534183,2014,1598,other,5,32
16081,16081,4c3dd15c0a325ec041497942744468b11b7264f3,16,business,25999.0,bmw,118,diesel,11.748787788692212,2015,1995,white,5,74
16082,16082,45c2ac32c4e0d32facf59399133ed29b42309e62,11,business,17480.0,bmw,116,diesel,11.516917486239766,2014,1600,blue,5,70
16083,16083,8f4bb1471c9d3b12500c2934cb68012ee51d06df,11,private,1000.0,peugeot,106,gaz,12.138863895836725,1998,1124,blue,5,17
16084,16084,61f8a1663d49fe4b90c8b15d2ed57dd2fe81a45b,13,business,22900.0,mercedes-benz,a-160,diesel,10.308952660644293,2017,1500,white,5,45
16085,16085,b81c82b0dc4ac76dc9d8056968dc7889abe18be0,15,business,30900.0,mercedes-benz,gla-200,diesel,10.621327345686446,2014,2200,white,6,91
16086,16086,cdbf8198996edcf32249f0b96944302c8d90b714,13,business,2950.0,smart,fortwo,diesel,11.938193200374572,2002,800,blue,2,33
16087,16087,f12c83cb987d79b6090f1896fdc6f57490746858,43,private,4800.0,audi,a3,gaz,8.660254034256889,2009,873,golden,4,188
16088,16088,62581f983c6ff32fd2d236e2509f7e8f31ed0342,15,business,29500.0,kia,sportage,diesel,8.411832675758411,2018,1685,white,5,17
16089,16089,2e9d285a4ff4fac51cf1fe8196c42cd0262c1153,1,business,965.0,ford,mondeo,diesel,12.86876061860541,1995,1753,green,5,24
16090,16090,9f66e9933dc000e853e3080c5134ec551667ce00,18,business,8750.0,mitsubishi,l200,diesel,12.84792653170257,1997,2500,white,5,143
16091,16091,33ba74307b04eadbb85b91e8bf0c7c8041142ee9,11,business,15300.0,vw,golf-variant,diesel,11.589840208738353,2014,1598,other,5,14
16092,16092,5cf70b44284bc7db92f5d927db8dbc2b0088c141,13,business,40990.0,bmw,520,diesel,11.951180395901384,2016,1995,blue,5,12
16093,16093,5080cfbfd3c453baebf691ef5d2bcae586b6a99f,11,business,1200.0,opel,corsa,gaz,11.827736204810263,2000,973,blue,5,22
16094,16094,0a6bd09c44f5ff4880c5044d2bb71c0aedd7d29d,13,business,6200.0,vw,golf-cabriolet,gaz,11.790557201568507,1999,1595,blue,4,21
16095,16095,cab2208eb9cde607ebfe4025cbe32a890ae8b44e,14,business,14650.0,renault,captur,diesel,10.819778284410283,2013,1500,beige,5,55
16096,16096,e50019884b5103ab56ddd742ed827676a179c9c1,15,business,20900.0,vw,amarok,diesel,11.77528972943772,2016,2000,white,5,51
16097,16097,e66d4da27aabed2b9f2a1db4322c16295d734e9a,11,business,9950.0,bmw,320,diesel,12.48869569266601,2008,2000,blue,5,45
16098,16098,30cc8ebdf10e845ec9254b79bcc64fa2a2f7dc25,10,business,27990.0,bmw,318,diesel,11.040999990161794,2014,1995,white,5,28
16099,16099,92532d652ef2d16e283d8ecc34b8be761863c581,3,business,15500.0,seat,ibiza,diesel,9.648595302907339,2017,1400,white,5,252
16100,16100,c0de743935fb722e8de0e99ac5c1f263414965d0,11,business,16480.0,peugeot,3008,hibride-diesel,11.654216672206191,2012,2000,white,5,55
16101,16101,92680855611f37745f2bdfc684f4e24ed48ac074,13,business,11900.0,fiat,500c,diesel,11.05089000537367,2013,1243,beige,5,53
16102,16102,778a18b6adc58ea5365842d2be1994082614594d,15,private,18500.0,alfa-romeo,spider,gaz,11.957611286231675,1991,1962,red,2,107
16103,16103,c06c1ddf4f60af31a3e8695de8b141b08acb4901,11,private,25500.0,toyota,hdj,diesel,12.826649133255284,2000,4200,blue,5,149
16104,16104,f2d5d631477ee01fd456aba25944e9b19d78c0b1,15,business,30250.0,seat,alhambra,diesel,10.896739325546411,2016,1600,blue,7,76
16105,16105,67e1a57c3f6040465e71cfcf86720242067aa81b,6,business,17900.0,nissan,juke,diesel,10.085809109330082,2016,1500,white,5,72
