,Unnamed: 0,ID,region_id,private_business,price,make,model,fuel_type,mileage,reg_year,eng_capacity,color,capacity,dayslive
20144,20144,6f353bac717bd9d5f15a9f3d2a719eda8c79fcb2,11,business,13250.0,citroen,citroen-c3,gaz,14220,2018,1199,white,,9
20145,20145,eb86abf427a5a3cafb3a8dcd8b92d654d58eb324,15,private,19000.0,nissan,nissan-qashqai,diesel,33000,2017,1461,white,,21
20146,20146,57719be2f2524a23ba53804d008a65373e4eb2a1,13,business,11990.0,fiat,fiat-500,gaz,46114,2017,1242,white,4.0,14
20147,20147,0f56df6d095cd22545dfcb6bceef9b58006f0323,13,business,17750.0,nissan,nissan-qashqai,diesel,84470,2014,1461,white,,8
20148,20148,8713e10a8461ffdb9ac232a658651c4b47871f41,11,business,14600.0,volvo,volvo-v40,diesel,84650,2013,1560,white,,10
20149,20149,c2b46f23b7c83865cd9178deee46198a51409a4f,18,business,5450.0,vw,vw-passat-variant,diesel,250000,2002,1900,blue,,12
20150,20150,a6b0b628201e9a58384147c26ce9654ee2cbd201,11,business,25800.0,audi,audi-a6,diesel,101870,2014,1968,other,,19
20151,20151,381aac4b1bb71b30bc04cf5369f1870e0e189311,11,business,178000.0,mercedes-benz,mercedes-benz-s-cabrio,gaz,8000,2018,3982,blue,,14
20152,20152,6e94055c39828d053ef604a38948fff6dcf065ed,11,business,42500.0,mercedes-benz,mercedes-benz-e-250,gaz,27000,2015,1991,white,4.0,59
20153,20153,1cc16edcb8fbf90db220611e6bfdde56f4c35a1b,13,business,27500.0,jeep,jeep-wrangler,diesel,49000,2011,2800,white,2.0,35
20154,20154,a466de09cba3ff5e702e9bf8cb959523e738e349,1,business,25200.0,nissan,nissan-qashqai,diesel,18530,2018,1461,blue,,7
20155,20155,8af4ca4b5b00c39e31af35507e58ee21421cadf5,13,business,2300.0,opel,opel-corsa,gaz,251000,2001,1200,blue,,9
20156,20156,f4578cad96e3a70f447bce00d9f40adbe41ac0b2,11,business,3450.0,suzuki,suzuki-vitara-cabrio,diesel,132000,1997,1900,red,4.0,10
20157,20157,0188ab3b61c3ec5d2e335a4f1021a5d729533b8b,1,business,11999.0,nissan,nissan-pick-up,diesel,168099,2003,2488,white,4.0,64
20158,20158,a9080ab3d4e005aacb4de9866f3138e7c60daaca,13,business,19900.0,renault,renault-megane-sport-tourer,gaz,20000,2018,1197,white,,45
20159,20159,5d1518a613448b68a70c88c6aee77942c4f24a29,13,business,26990.0,toyota,toyota-prius,hibride-gaz,21500,2017,1798,white,,85
20160,20160,de33ad472cb3d5b61a11030cec7b88c87eb5c0bc,3,business,14900.0,mercedes-benz,mercedes-benz-c-220,diesel,229000,2009,2200,white,,15
20161,20161,6667c9131df76886dfd337dc98a1a6bb96ec5e84,3,business,1200.0,vw,vw-transporter,diesel,220000,1995,2400,red,3.0,51
20162,20162,0d945a3954bcb7a9821987e4dbf0aed31418e432,3,business,22800.0,peugeot,peugeot-508-rxh,hibride-diesel,144863,2014,2000,white,,15
20163,20163,f974b5be1091c2b717a751850dc97172c08cd759,13,business,14950.0,peugeot,peugeot-2008,diesel,90000,2015,1560,white,,7
20164,20164,d56dbe26802aab6c13e96e98b2fbbfac45c07eba,1,business,15900.0,peugeot,peugeot-308-sw,diesel,109664,2014,1600,red,,73
20165,20165,20c5aa585d08d745aaecded8005b616385cc6754,1,business,15900.0,fiat,fiat-500,gaz,500,2018,1200,white,4.0,48
20166,20166,469a53b67180b652bae7d1b3ed1e0c1afd0d5d8b,11,business,3499.0,opel,opel-corsa,diesel,194000,2006,1300,blue,,41
